FSCS Key,Library Name,ADDRESS,CITY,ZIP,Locale ,Service Area Population,Books and Other Print Material,E-Books,  Audio - Physical,Video - Physical
AK0001,ANCHOR POINT PUBLIC LIBRARY,34020 NORTH FORK ROAD,ANCHOR POINT,99556,Rural,"2,202","19,054",0,203,"3,771"
AK0002,ANCHORAGE PUBLIC LIBRARY,3600 DENALI STREET,ANCHORAGE,99503,City,"289,810","401,288","48,543","27,338","69,049"
AK0003,ANDERSON COMMUNITY LIBRARY,101 FIRST STREET,ANDERSON,99744,Rural,247,"15,600",0,266,"1,415"
AK0006,KUSKOKWIM CONSORTIUM LIBRARY,420 CHIEF EDDIE HOFFMAN HIGHWAY,BETHEL,99559,Town,"6,154","35,096","22,604","2,184","4,880"
AK0007,BIG LAKE PUBLIC LIBRARY,3140 SOUTH BIG LAKE ROAD,WASILLA,99623,Rural,"10,565","22,217","3,066","1,575","3,414"
AK0008,CANTWELL COMMUNITY LIBRARY,1 SCHOOL ROAD,CANTWELL,99729,Rural,196,"11,045","22,604",347,768
AK0011,CHINIAK PUBLIC LIBRARY,43318 SPRUCE WAY,CHINIAK,99615,Rural,53,"5,680",256,60,465
AK0014,COLD BAY PUBLIC LIBRARY,10 BARANOV ROAD,COLD BAY,99571,Rural,56,"2,180",0,235,"1,804"
AK0015,COOPER LANDING COMMUNITY LIBRARY,18511 BEAN CREEK ROAD,COOPER LANDING,99572,Rural,364,"3,748","22,604",0,"1,076"
AK0016,CORDOVA PUBLIC LIBRARY,601 FIRST STREET,CORDOVA,99574,Rural,"2,566","23,344","22,604",705,"1,720"
AK0017,CRAIG PUBLIC LIBRARY,504 THIRD STREET,CRAIG,99921,Rural,992,"11,363","22,604",456,"3,513"
AK0019,DELTA COMMUNITY LIBRARY,2291 DEBORAH STREET,DELTA JUNCTION,99737,Rural,983,"13,048","22,604",589,"3,538"
AK0020,DILLINGHAM PUBLIC LIBRARY,306 D STREET WEST,DILLINGHAM,99576,Rural,"2,222","42,641","22,604",0,"8,494"
AK0021,EAGLE PUBLIC LIBRARY,4TH & AMUNDSEN,EAGLE,99738,Rural,76,"10,009","22,604",195,"3,973"
AK0023,FAIRBANKS NORTH STAR BOROUGH PUBLIC LIBRARIES,1215 COWLES STREET,FAIRBANKS,99701,City,"96,747","270,851","810,627","22,197","38,178"
AK0025,CHARLES EVANS COMMUNITY/SCHOOL LIBRARY,299 ANTOSKI ROAD,GALENA,99741,Rural,435,"8,921",0,128,868
AK0027,COPPER VALLEY COMMUNITY LIBRARY,MILE 186 GLENN HIGHWAY,GLENNALLEN,99588,Rural,427,"23,218","22,604","1,123","3,254"
AK0028,GUSTAVUS PUBLIC LIBRARY,14 GUSTAVUS ROAD,GUSTAVUS,99826,Rural,657,"12,761","24,209",15,"1,909"
AK0029,HAINES BOROUGH PUBLIC LIBRARY,111 THIRD AVENUE SOUTH,HAINES,99827,Rural,"2,575","24,030","22,604","1,730","5,695"
AK0030,TRI-VALLEY COMMUNITY LIBRARY,400 SUNTRANA STREET,HEALY,99743,Rural,929,"24,461","22,604",385,"1,500"
AK0031,HOLLIS PUBLIC LIBRARY,NO. 1 HOLLIS CHILKAT ROAD,HOLLIS,99950,Rural,139,"5,877",124,52,"2,512"
AK0032,HOMER PUBLIC LIBRARY,500 HAZEL AVENUE,HOMER,99603,Rural,"5,515","44,137","22,604","2,117","4,948"
AK0033,HOPE SUNRISE COMMUNITY LIBRARY,18487 A AVENUE,HOPE,99605,Rural,167,"5,246",0,237,"2,881"
AK0035,JUNEAU PUBLIC LIBRARIES,292 MARINE WAY,JUNEAU,99801,Town,"32,202","116,837","22,604","6,923","8,278"
AK0037,KASILOF PUBLIC LIBRARY,58231 STERLING HIGHWAY,KASILOF,99610,Rural,525,"13,530",0,170,397
AK0038,KENAI COMMUNITY LIBRARY,163 MAIN STREET LOOP,KENAI,99611,Town,"7,507","64,000","22,604","1,780","4,764"
AK0039,KETCHIKAN PUBLIC LIBRARY,1110 COPPER RIDGE LANE,KETCHIKAN,99901,Town,"13,762","54,983","22,604","3,506","6,421"
AK0040,KODIAK PUBLIC LIBRARY,612 EGAN WAY,KODIAK,99615,Town,"12,498","66,629","22,604","2,666","4,436"
AK0041,CHUKCHI CONSORTIUM LIBRARY,604 THIRD STREET,KOTZEBUE,99752,Town,"2,931","13,681",0,300,"2,100"
AK0044,MCGRATH COMMUNITY LIBRARY,249 F STREET,MCGRATH,99627,Rural,272,"14,176","22,604",83,"1,766"
AK0046,CENTENNIAL LIBRARY,4TH & MILTON STREET,METLAKATLA,99926,Rural,"1,444","17,030","22,604",230,601
AK0047,MARTIN MONSEN REGIONAL LIBRARY,101 MAIN STREET,NAKNEK,99633,Rural,431,"17,185","22,604",224,"4,795"
AK0048,NENANA PUBLIC LIBRARY,106 EAST 2ND STREET,NENANA,99760,Rural,400,"8,850",10,609,"2,353"
AK0051,NINILCHIK COMMUNITY LIBRARY,15850 STERLING HIGHWAY,NINILCHIK,99639,Rural,930,"12,687","22,604",705,"3,562"
AK0052,KEGOAYAH KOZGA LIBRARY,100 WEST 7TH AVENUE,NOME,99762,Town,"3,469","26,741","22,604",691,"2,156"
AK0055,PALMER PUBLIC LIBRARY,655 SOUTH VALLEY WAY,PALMER,99645,Town,"25,488","60,912","22,604","3,184","5,337"
AK0056,PELICAN PUBLIC LIBRARY,166 SALMON WAY,PELICAN,99832,Rural,83,"10,732","22,604",0,"4,264"
AK0057,PETERSBURG PUBLIC LIBRARY,14 SOUTH SECOND STREET,PETERSBURG,99833,Rural,"3,357","22,448","22,604",605,"7,213"
AK0058,JESSIE WAKEFIELD MEMORIAL LIBRARY,207 SPRUCE DRIVE,PORT LIONS,99550,Rural,165,"10,759",0,245,"1,821"
AK0064,SELDOVIA PUBLIC LIBRARY,260 SELDOVIA STREET,SELDOVIA,99663,Rural,261,"9,203",0,236,"2,539"
AK0065,SEWARD COMMUNITY LIBRARY AND MUSEUM,239 6TH AVENUE,SEWARD,99664,Rural,"2,482","22,203","22,604",921,"3,507"
AK0067,SITKA PUBLIC LIBRARY,320 HARBOR DRIVE,SITKA,99835,Rural,"8,350","43,599","22,604","2,088","7,134"
AK0068,SKAGWAY PUBLIC LIBRARY,769 STATE STREET,SKAGWAY,99840,Rural,"1,146","10,337","22,604",184,"2,273"
AK0069,JOYCE K. CARVER MEMORIAL SOLDOTNA PUBLIC LIBRARY,235 NORTH BINKLEY ST.,SOLDOTNA,99669,Town,"4,519","46,202","22,604","3,769","5,135"
AK0070,SUTTON PUBLIC LIBRARY/COMMUNITY RESOURCE CENTER,11301 NORTH CHICKALOON WAY,SUTTON,99674,Rural,"5,087","21,331","22,604","1,295","3,114"
AK0072,TALKEETNA PUBLIC LIBRARY,24645 SOUTH TALKEETNA SPUR ROAD,TALKEETNA,99676,Rural,"10,625","25,052","22,604","1,475","6,366"
AK0073,TANANA COMMUNITY/SCHOOL LIBRARY,89 FRONT STREET,TANANA,99777,Rural,233,"2,115","60,044",79,338
AK0074,DERMOTT O`TOOLE MEMORIAL LIBRARY,707 WEST TENAKEE AVENUE,TENAKEE SPRINGS,99841,Rural,126,"7,348","22,604","4,772",0
AK0075,TOK COMMUNITY LIBRARY,MILE 1314 ALASKA HIGHWAY,TOK,99780,Rural,"1,324","6,249","22,604",677,"1,193"
AK0077,VALDEZ CONSORTIUM LIBRARY,212 FAIRBANKS DRIVE,VALDEZ,99686,Rural,"3,950","28,229","22,604","1,133","2,486"
AK0078,WASILLA PUBLIC LIBRARY,500 N CRUSEY STREET,WASILLA,99654,Town,"50,491","69,021","22,604","3,525","6,118"
AK0080,WILLOW PUBLIC LIBRARY,23557 WEST WILLOW COMMUNITY CENTER,WILLOW,99688,Rural,"6,708","19,559","22,604","1,225","4,738"
AK0081,IRENE INGLE PUBLIC LIBRARY,124 SECOND STREET,WRANGELL,99929,Rural,"2,084","38,538","22,604",600,"3,293"
AK0085,FRANCES KIBBLE KENNY LAKE PUBLIC LIBRARY,MILE 5 EDGERTON HIGHWAY,KENNY LAKE,99573,Rural,294,"8,283","22,604",765,"2,437"
AK0094,TUZZY CONSORTIUM LIBRARY,5421 NORTH STAR STREET,UTQIAGVIK,99723,Town,"9,436","56,123","23,229","1,254","11,642"
AK0099,MOOSE PASS PUBLIC LIBRARY,33675 DEPOT ROAD,MOOSE PASS,99631,Rural,232,"7,002","22,604",0,"1,584"
AK0103,TRAPPER CREEK PUBLIC LIBRARY,8901 EAST DEVONSHIRE DRIVE,TRAPPER CREEK,99683,Rural,"2,788","15,848","1,081","1,130","4,917"
AK0113,OUZINKIE TRIBAL MEDIA CENTER,216 THIRD STREET,OUZINKIE,99644,Rural,116,"2,569",0,0,880
AK0115,UNALASKA PUBLIC LIBRARY,64 ELEANOR DRIVE,UNALASKA,99685,Rural,"4,113","23,405","22,738",61,"7,519"
AK0116,ANIAK PUBLIC LIBRARY,270 RIVERFRONT DRIVE,ANIAK,99557,Rural,-3,-3,-3,-3,-3
AK0117,HYDER PUBLIC LIBRARY,50 MAIN STREET,HYDER,99923,Rural,46,"9,191","22,604",0,"2,388"
AK0124,LAKE MINCHUMINA COMMUNITY LIBRARY,123 AIRPORT WAY,LAKE MINCHUMINA,99757,Rural,37,"3,000",0,100,"1,309"
AK0126,IGIUGIG TRIBAL LIBRARY,1 AIRPORT WAY,IGIUGIG,99613,Rural,63,"11,812","22,604",49,331
AK0127,COFFMAN COVE COMMUNITY LIBRARY,108 NW DENALI ALLEY,COFFMAN COVE,99918,Rural,201,"20,994","22,604",33,"2,017"
AK0130,THORNE BAY PUBLIC LIBRARY,120 FREEMAN DRIVE,THORNE BAY,99919,Rural,480,"4,853","22,604",185,"1,959"
AK0134,WHALE PASS COMMUNITY LIBRARY,BEACH ROAD LOT 3 BLOCK 14,WHALE PASS,99950,Rural,84,"6,975",0,112,"1,890"
AK0137,KLUKWAN COMMUNITY/SCHOOL LIBRARY,315 MISSION STREET,KLUKWAN,99827,Rural,86,"8,702",0,141,"1,884"
AK0139,SAMUEL B. FOSS LIBRARY,1 WATERFRONT WAY,PEDRO BAY,99647,Rural,27,"6,274","22,604",0,"1,614"
AK0140,EDNA BAY COMMUNITY LIBRARY,100 SCHOOL HOUSE ROAD,EDNA BAY,99950,Rural,42,"11,353",0,0,"2,425"
AK0141,CITY OF ADAK PUBLIC LIBRARY,PO BOX 2011,ADAK,99546,Rural,113,83,125,0,"1,105"
AK0142,SHIRLY JACKSON COMMUNITY LIBRARY,175 LIBRARY DR,KAKE,99830,Rural,530,"11,876","22,604",0,0
AL0001,CARL ELLIOTT REGIONAL LIBRARY SYSTEM,98 18TH STREET EAST,JASPER,35501,Town,"64,210",0,"58,814",0,0
AL0002,ARLEY PUBLIC LIBRARY,6788 COUNTY ROAD 41,ARLEY,35541,Rural,330,"11,598","58,814",616,791
AL0005,DOUBLE SPRINGS PUBLIC LIBRARY,637 BLAKE DRIVE,DOUBLE SPRINGS,35553,Rural,"1,076","12,207","58,814",61,271
AL0006,HALEYVILLE PUBLIC LIBRARY,913 20TH STREET,HALEYVILLE,35565,Town,"4,351","13,544","58,814",261,873
AL0007,JASPER PUBLIC LIBRARY,98 EAST 18TH STREET,JASPER,35501,Town,"14,354","69,268","58,814",860,"5,828"
AL0009,SUMITON PUBLIC LIBRARY,416 STATE STREET,SUMITON,35148,Town,"2,422","11,471","58,814",184,951
AL0010,CHEAHA REGIONAL LIBRARY,935 COLEMAN STREET,HEFLIN,36264,Rural,"100,054","28,322","9,526",412,596
AL0011,ROANOKE - ANNIE L. AWBREY PUBLIC LIBRARY,736 COLLEGE STREET,ROANOKE,36274,Town,"5,279","29,284","58,856",204,105
AL0012,ASHLAND CITY PUBLIC LIBRARY,11 2ND AVENUE NORTH,ASHLAND,36251,Rural,"1,969","20,949","46,611",9,671
AL0013,SYLACAUGA - B. B. COMER MEMORIAL LIBRARY,314 NORTH BROADWAY AVENUE,SYLACAUGA,35150,Town,"12,373","105,612","59,034","1,521",140
AL0014,CHEROKEE COUNTY PUBLIC LIBRARY,310 MARY STREET,CENTRE,35960,Town,"3,528","27,150","54,997","1,017",2
AL0015,CHILDERSBURG - EARLE A. RAINWATER MEMORIAL LIBRARY,124 NINTH AVENUE SW,CHILDERSBURG,35044,Town,"4,689","57,382","58,856","1,105","2,599"
AL0016,LINCOLN PUBLIC LIBRARY,47475 US HWY 78,LINCOLN,35096,Rural,"7,082","21,243","58,856",191,132
AL0017,LINEVILLE PUBLIC LIBRARY,60119 HIGHWAY 49,LINEVILLE,36266,Rural,"2,474","12,781","58,856",220,0
AL0018,HEFLIN - LUCILE L. MORGAN PUBLIC LIBRARY,541 ROSS STREET,HEFLIN,36264,Rural,"3,400","13,931",0,128,"1,021"
AL0019,OXFORD PUBLIC LIBRARY,110 EAST 6TH STREET,OXFORD,36203,City,"22,312","69,791","58,766","5,534","4,283"
AL0020,TALLADEGA - ARMSTRONG-OSBORNE PUBLIC LIBRARY,202 SOUTH STREET EAST,TALLADEGA,35160,Town,"15,621","81,611","46,273",675,402
AL0022,ABBEVILLE MEMORIAL LIBRARY,301 KIRKLAND STREET,ABBEVILLE,36310,Rural,"7,347","22,580","58,856",674,"1,989"
AL0024,HEADLAND - BLANCHE R. SOLOMON MEMORIAL LIBRARY,17 PARK STREET,HEADLAND,36345,Town,"10,112","13,852","63,010",682,518
AL0025,BRUNDIDGE - TUPPER LIGHTFOOT MEMORIAL LIBRARY,164 SOUTH MAIN STREET,BRUNDIDGE,36010,Rural,"6,507","16,221","58,958",65,"1,628"
AL0026,OZARK - DALE COUNTY PUBLIC LIBRARY,296 NORTH UNION AVENUE,OZARK,36360,Rural,"37,731","18,251","46,958","1,101",943
AL0029,CLIO - ELTON B. STEPHENS LIBRARY,17 SCHOOL STREET,CLIO,36017,Rural,"3,309","24,949",0,170,365
AL0030,LOUISVILLE PUBLIC LIBRARY,1951 MAIN STREET,LOUISVILLE,36048,Rural,"2,496","4,657",0,0,15
AL0031,MIDLAND CITY - MARY BERRY BROWN MEMORIAL LIBRARY,1318 HINTON WATERS AVENUE,MIDLAND CITY,36350,Suburban,"2,264","9,162",0,42,222
AL0032,NEWTON PUBLIC LIBRARY,209 OATES DRIVE,NEWTON,36352,Rural,"2,194","7,022",0,148,364
AL0033,CLAYTON - TOWN AND COUNTY PUBLIC LIBRARY,45 NORTH MIDWAY STREET,CLAYTON,36016,Rural,"4,378","15,680",0,255,378
AL0034,TROY PUBLIC LIBRARY,500 EAST WALNUT STREET,TROY,36079,Town,"26,484","65,624","45,496","2,390","3,915"
AL0035,UNION SPRINGS PUBLIC LIBRARY,103 NORTH PRAIRIE STREET,UNION SPRINGS,36089,Town,"10,320","13,755",0,0,0
AL0037,ANDALUSIA PUBLIC LIBRARY,212 SOUTH THREE NOTCH STREET,ANDALUSIA,36420,Town,"18,023","34,391",242,677,900
AL0038,BRANTLEY PUBLIC LIBRARY,10 MLK DRIVE,BRANTLEY,36009,Rural,"3,302","7,520",0,0,0
AL0039,ELBA PUBLIC LIBRARY,406 SIMMONS STREET,ELBA,36323,Rural,"9,814","23,367","41,037","1,318","1,430"
AL0040,GENEVA - EMMA KNOX KENAN LIBRARY,312 SOUTH COMMERCE STREET,GENEVA,36340,Town,"8,163","19,454",0,187,"1,088"
AL0041,ENTERPRISE PUBLIC LIBRARY,101 EAST GRUBBS STREET,ENTERPRISE,36330,Town,"44,360","40,267","6,689","1,970","2,343"
AL0042,FLORALA PUBLIC LIBRARY,1214 FOURTH STREET,FLORALA,36442,Rural,"6,312","19,936","47,074",436,"2,090"
AL0043,HARTFORD - MCGREGOR-MCKINNEY PUBLIC LIBRARY,101 EAST FULTON STREET,HARTFORD,36344,Rural,"6,629","20,188","6,689",539,531
AL0044,LUVERNE PUBLIC LIBRARY,148 EAST THIRD STREET,LUVERNE,36049,Rural,"9,781","18,400","59,905","1,472","2,380"
AL0045,OPP PUBLIC LIBRARY,1604 NORTH MAIN STREET,OPP,36467,Rural,"13,189","31,632",242,734,"1,008"
AL0046,SAMSON PUBLIC LIBRARY,200 NORTH JOHNSON STREET,SAMSON,36477,Rural,"5,838","9,737",0,171,0
AL0047,SLOCOMB PUBLIC LIBRARY,134 SOUTH DALTON AVENUE,SLOCOMB,36375,Rural,"6,071","10,000",0,150,0
AL0048,HORSESHOE BEND REGIONAL LIBRARY,207 NORTH WEST STREET,DADEVILLE,36853,Rural,"158,206","48,605",0,121,"1,258"
AL0049,ALEXANDER CITY - ADELIA MCCONNELL RUSSELL LIBRARY,318 CHURCH STREET,ALEXANDER CITY,35010,Town,"14,618","30,790","45,354","1,057","1,784"
AL0050,DADEVILLE PUBLIC LIBRARY,205 NORTH WEST STREET,DADEVILLE,36853,Rural,"2,998","11,421","58,856",469,501
AL0051,GOODWATER PUBLIC LIBRARY,62 COOSA COUNTY ROAD 66,GOODWATER,35072,Rural,"1,281","20,091",0,157,"2,303"
AL0052,AUBURN PUBLIC LIBRARY,749 EAST THACH AVENUE,AUBURN,36830,City,"78,564","74,262","6,295","1,535","6,518"
AL0053,OPELIKA PUBLIC LIBRARY,200 SOUTH 6TH STREET,OPELIKA,36801,City,"31,538","42,971","1,281,766","5,571","4,580"
AL0054,MILLBROOK PUBLIC LIBRARY,3650 GRANDVIEW ROAD,MILLBROOK,36054,Suburban,"17,217","32,554","59,289","1,778","1,362"
AL0055,ROCKFORD PUBLIC LIBRARY,9688 US HWY 231,ROCKFORD,35136,Rural,351,"6,399",0,110,164
AL0056,TALLASSEE COMMUNITY PUBLIC LIBRARY,99 FREEMAN AVENUE,TALLASSEE,36078,Rural,"4,808","33,168","58,856","1,134","1,490"
AL0057,WETUMPKA PUBLIC LIBRARY,212 SOUTH MAIN STREET,WETUMPKA,36092,Town,"7,190","22,468","64,293","2,053","2,504"
AL0059,FLORENCE - LAUDERDALE PUBLIC LIBRARY,350 NORTH WOOD AVENUE,FLORENCE,35630,City,"90,930","85,317","9,527","3,133","3,024"
AL0060,TUSCUMBIA - HELEN KELLER PUBLIC LIBRARY,511 NORTH MAIN STREET,TUSCUMBIA,35674,Suburban,"13,233","15,863","6,501","1,041","1,224"
AL0061,LEIGHTON PUBLIC LIBRARY,8740 MAIN STREET,LEIGHTON,35646,Rural,"4,827","7,734",0,0,"1,696"
AL0062,MUSCLE SHOALS PUBLIC LIBRARY,1918 EAST AVALON AVENUE,MUSCLE SHOALS,35661,City,"20,783","46,038","835,974","3,827","10,870"
AL0063,ROGERSVILLE PUBLIC LIBRARY,74 BANK STREET,ROGERSVILLE,35652,Rural,"1,336","34,765","56,286","1,147","2,373"
AL0064,SHEFFIELD PUBLIC LIBRARY,316 NORTH MONTGOMERY AVENUE,SHEFFIELD,35660,Suburban,"13,502","45,198","1,073,802","1,662","4,086"
AL0065,NORTHWEST REGIONAL LIBRARY,185 ASHWOOD DRIVE,WINFIELD,35594,Rural,"32,842","2,957","58,856",0,0
AL0066,HAMILTON - CLYDE NIX PUBLIC LIBRARY,350 BEXAR AVENUE WEST,HAMILTON,35570,Town,"6,991","16,983",0,410,446
AL0067,KENNEDY PUBLIC LIBRARY,17885 HIGHWAY 96,KENNEDY,35574,Rural,427,"4,388",0,154,40
AL0068,GUIN - MCHS COMMUNITY LIBRARY,8115 U.S. HIGHWAY 43,GUIN,35563,Rural,"2,172","21,554",0,30,117
AL0069,MILLPORT PUBLIC LIBRARY,920 BLACK STREET,MILLPORT,35576,Rural,982,"7,568",0,53,255
AL0070,RUSSELLVILLE PUBLIC LIBRARY,110 EAST LAWRENCE STREET,RUSSELLVILLE,35653,Town,"19,809","26,348","62,008",536,"2,294"
AL0071,SULLIGENT PUBLIC LIBRARY,514 ELM STREET,SULLIGENT,35586,Rural,"1,838","19,053",0,18,0
AL0072,VERNON - MARY WALLACE COBB MEMORIAL LIBRARY,110 FIRST AVENUE WEST,VERNON,35592,Rural,"1,874","13,919",18,53,"1,142"
AL0073,RED BAY - WEATHERFORD PUBLIC LIBRARY,307 4TH AVENUE SOUTH,RED BAY,35582,Rural,"3,184","11,439",0,24,0
AL0074,WINFIELD PUBLIC LIBRARY,185 ASHWOOD DRIVE,WINFIELD,35594,Rural,"4,829","27,830",0,673,"5,011"
AL0076,ATHENS - LIMESTONE PUBLIC LIBRARY,603 JEFFERSON STREET,ATHENS,35611,Town,"107,517","74,476","58,856","1,114","3,737"
AL0077,DECATUR PUBLIC LIBRARY,504 CHERRY STREET NE,DECATUR,35601,City,"90,875","82,720","61,410","3,249","4,961"
AL0078,HARTSELLE - WILLIAM BRADFORD HUIE LIBRARY OF HARTSELLE,152 SPARKMAN STREET NW,HARTSELLE,35640,Suburban,"23,927","32,449","861,645",637,976
AL0079,LAWRENCE COUNTY PUBLIC LIBRARY,401 COLLEGE STREET,MOULTON,35650,Rural,"30,969","20,564","58,996",658,"1,478"
AL0080,BALDWIN COUNTY LIBRARY COOPERATIVE,22251 PALMER STREET,ROBERTSDALE,36567,Town,"106,499","7,945","58,989",118,"1,225"
AL0081,DAPHNE PUBLIC LIBRARY,2607 U.S. HIGHWAY 98,DAPHNE,36526,City,"28,777","68,062","58,856","6,653","9,209"
AL0082,FAIRHOPE PUBLIC LIBRARY,501 FAIRHOPE AVENUE,FAIRHOPE,36532,City,"23,147","72,803","109,078","5,410","7,670"
AL0083,FOLEY PUBLIC LIBRARY,319 EAST LAUREL AVENUE,FOLEY,36535,Town,"22,063","85,969","59,365","2,911","9,075"
AL0084,BAY MINETTE PUBLIC LIBRARY,205 WEST SECOND STREET,BAY MINETTE,36507,Town,"7,894","35,359","59,306","1,581","2,277"
AL0085,LOXLEY PUBLIC LIBRARY,1001 EAST LOXLEY AVENUE,LOXLEY,36551,Suburban,"4,111","8,065","58,889",390,"1,314"
AL0086,OSCAR JOHNSON MEMORIAL LIBRARY,21967 SIXTH STREET,SILVERHILL,36576,Town,"1,035","8,617",0,209,311
AL0087,ROBERTSDALE PUBLIC LIBRARY,18301 PENNSYLVANIA STREET,ROBERTSDALE,36567,Town,"6,916","34,365","58,856","3,570","1,274"
AL0088,GULF SHORES - THOMAS B. NORTON PUBLIC LIBRARY,221 WEST 19TH AVENUE,GULF SHORES,36542,Town,"15,736","40,966","59,306","4,563","4,223"
AL0090,ADAMSVILLE PUBLIC LIBRARY,4825 MAIN STREET,ADAMSVILLE,35005,Suburban,"4,294","14,885","100,284",561,"1,058"
AL0091,BESSEMER PUBLIC LIBRARY,400 19TH STREET N,BESSEMER,35020,Suburban,"25,615","30,483","100,284","1,416","2,104"
AL0092,MOUNTAIN BROOK - EMMET O`NEAL LIBRARY,50 OAK STREET,MOUNTAIN BROOK,35213,Suburban,"22,158","109,419","928,694","6,675","8,055"
AL0093,FAIRFIELD - WALTER J. HANNA MEMORIAL LIBRARY,4615 GARY AVENUE,FAIRFIELD,35064,Suburban,"9,832","13,825","100,284",127,"1,042"
AL0094,FULTONDALE PUBLIC LIBRARY,500 BYRD LANE,FULTONDALE,35068,Suburban,"9,789","22,163","100,284",691,"3,958"
AL0095,GARDENDALE - MARTHA MOORE PUBLIC LIBRARY,995 MT. OLIVE ROAD,GARDENDALE,35071,Suburban,"16,444","45,679","100,284","2,097","5,893"
AL0096,GRAYSVILLE PUBLIC LIBRARY,315 SOUTH MAIN STREET,GRAYSVILLE,35073,Suburban,"1,915","15,412","100,284",493,715
AL0097,HOMEWOOD PUBLIC LIBRARY,1721 OXMOOR ROAD,HOMEWOOD,35209,Suburban,"26,054","81,142","967,869","8,686","13,908"
AL0098,HOOVER PUBLIC LIBRARY,200 MUNICIPAL DRIVE,HOOVER,35216,City,"92,589","188,008","130,962","10,708","16,078"
AL0099,HUEYTOWN PUBLIC LIBRARY,1372 HUEYTOWN ROAD,HUEYTOWN,35023,Suburban,"16,531","21,038","100,284",330,"1,399"
AL0100,IRONDALE PUBLIC LIBRARY,105 20TH STREET SOUTH,IRONDALE,35210,Suburban,"13,518","39,535","100,284","1,385","2,567"
AL0101,LEEDS - JANE CULBRETH LIBRARY,8104 PARKWAY DRIVE,LEEDS,35094,Suburban,"12,271","26,297","100,284","1,099","3,431"
AL0102,MIDFIELD PUBLIC LIBRARY,400 BRELAND DRIVE,MIDFIELD,35228,Suburban,-3,-3,-3,-3,-3
AL0103,PLEASANT GROVE PUBLIC LIBRARY,501 PARK ROAD,PLEASANT GROVE,35127,Suburban,"9,495","18,504","100,284",918,"2,092"
AL0104,TARRANT PUBLIC LIBRARY,1143 FORD AVENUE,TARRANT,35217,Suburban,"6,005","22,754","100,284",521,"1,540"
AL0105,TRUSSVILLE PUBLIC LIBRARY,201 PARKWAY DRIVE,TRUSSVILLE,35173,Suburban,"26,388","66,011","4,620","4,266","9,720"
AL0106,VESTAVIA HILLS LIBRARY IN THE FOREST,1221 MONTGOMERY HIGHWAY,VESTAVIA HILLS,35216,Suburban,"38,801","69,734","82,403","5,888","10,257"
AL0107,WARRIOR PUBLIC LIBRARY,101 FIRST STREET,WARRIOR,35180,Rural,"3,204","12,958","100,284",694,"1,669"
AL0108,BIRMINGHAM PUBLIC LIBRARY,2100 PARK PLACE,BIRMINGHAM,35203,City,"197,575","596,583","110,184","27,451","44,790"
AL0109,FORT PAYNE - DEKALB COUNTY PUBLIC LIBRARY,504 GRAND AVENUE NW,FORT PAYNE,35967,Town,"58,102","79,081","58,856","3,602","1,668"
AL0110,COLLINSVILLE PUBLIC LIBRARY,151 MAIN STREET,COLLINSVILLE,35961,Rural,"2,029","8,900","58,856",32,997
AL0111,GERALDINE PUBLIC LIBRARY,13543 ALABAMA HIGHWAY 227,GERALDINE,35974,Rural,910,"39,256","45,354","1,208","1,656"
AL0112,RAINSVILLE PUBLIC LIBRARY,941 EAST MAIN STREET,RAINSVILLE,35986,Rural,"5,604","56,712","58,856","3,220","3,261"
AL0113,ESCAMBIA COUNTY COOPERATIVE LIBRARY SYSTEM,700 EAST CHURCH STREET,ATMORE,36502,Town,"21,444","4,910","73,636",6,0
AL0114,ATMORE PUBLIC,700 E. CHURCH STREET,ATMORE,36502,Town,"8,542","41,635","73,636",725,"1,282"
AL0115,BREWTON PUBLIC LIBRARY,206 WEST JACKSON STREET,BREWTON,36426,Town,"5,261","67,724","73,636","4,767","9,827"
AL0116,FLOMATON PUBLIC LIBRARY,DR VAN AVENUE,FLOMATON,36441,Town,"1,452","29,441","73,636","1,292",473
AL0117,GADSDEN - ETOWAH COUNTY PUBLIC LIBRARY,254 COLLEGE STREET,GADSDEN,35901,City,"65,286","81,763","45,354","2,209","2,939"
AL0118,ATTALLA - ETOWAH COUNTY PUBLIC LIBRARY,604 NORTH 4TH STREET,ATTALLA,35954,Suburban,"5,839","18,736","43,722",57,0
AL0119,RAINBOW CITY PUBLIC LIBRARY,3702 RAINBOW DRIVE,RAINBOW CITY,35906,Suburban,"10,154","44,837","65,063","2,639","2,907"
AL0121,DEMOPOLIS PUBLIC LIBRARY,211 E. WASHINGTON STREET,DEMOPOLIS,36732,Town,"11,987","28,362","58,856","1,045","3,052"
AL0122,MARENGO COUNTY PUBLIC LIBRARY,210 NORTH SHILOH STREET,LINDEN,36748,Rural,"7,009","11,054",0,284,0
AL0123,MARSHALL COUNTY COOPERATIVE LIBRARY,19348 HIGHWAY 431 NORTH,GUNTERSVILLE,35976,Rural,"47,294","14,792",0,465,0
AL0124,ARAB PUBLIC LIBRARY,325 2ND STREET NW,ARAB,35016,Town,"8,498","49,294","58,864","1,513","2,636"
AL0125,BOAZ PUBLIC LIBRARY,404 THOMAS AVE.,BOAZ,35957,Town,"10,161","58,923","66,928","2,063","4,391"
AL0126,GUNTERSVILLE PUBLIC LIBRARY,1240 O`BRIG AVENUE,GUNTERSVILLE,35976,Town,"8,713","36,113","9,527","1,470","3,899"
